x,y,v
-11.092898,-0.084936,4.000
-11.142474,-0.078194,4.000
-11.191954,-0.070785,4.000
-11.241328,-0.062699,4.000
-11.290585,-0.053927,4.000
-11.339713,-0.044460,4.000
-11.388700,-0.034289,4.000
-11.437533,-0.023403,4.000
-11.486199,-0.011791,4.000
-11.534669,0.000613,4.000
-11.582940,0.013769,4.000
-11.630997,0.027687,4.000
-11.678823,0.042378,4.000
-11.726401,0.057855,4.000
-11.773711,0.074133,4.000
-11.820733,0.091224,4.000
-11.867445,0.109144,4.000
-11.913824,0.127910,4.000
-11.959821,0.147594,4.000
-12.005413,0.168199,4.000
-12.050582,0.189716,4.000
-12.095292,0.212169,4.000
-12.139506,0.235586,4.000
-12.183177,0.260000,4.000
-12.226252,0.285449,4.000
-12.268562,0.312152,4.000
-12.310096,0.340047,4.000
-12.350780,0.369168,4.000
-12.390507,0.399580,4.000
-12.428982,0.431562,4.000
-12.466073,0.465139,4.000
-12.501685,0.500281,4.000
-12.535656,0.537013,4.000
-12.568053,0.575139,4.000
-12.598937,0.614501,4.000
-12.628270,0.655032,4.000
-12.656116,0.696598,4.000
-12.682791,0.738926,4.000
-12.708371,0.781924,4.000
-12.732919,0.825520,4.000
-12.756488,0.869652,4.000
-12.779125,0.914270,4.000
-12.800867,0.959331,4.000
-12.821697,1.004820,4.000
-12.841682,1.050687,4.000
-12.860856,1.096899,4.000
-12.879233,1.143434,4.000
-12.896829,1.190269,4.000
-12.913654,1.237388,4.000
-12.929717,1.284771,4.000
-12.945025,1.332403,4.000
-12.959586,1.380269,4.000
-12.973405,1.428355,4.000
-12.986485,1.476646,4.000
-12.998830,1.525131,4.000
-13.010440,1.573797,4.000
-13.021317,1.622633,4.000
-13.031465,1.671625,4.000
-13.040884,1.720762,4.000
-13.049548,1.770038,4.000
-13.057472,1.819438,4.000
-13.064668,1.868950,4.000
-13.071136,1.918562,4.000
-13.076877,1.968263,4.000
-13.081890,2.018043,4.000
-13.086177,2.067891,4.000
-13.089739,2.117796,4.000
-13.092576,2.167747,4.000
-13.094691,2.217734,4.000
-13.096086,2.267746,4.000
-13.096762,2.317774,4.000
-13.096721,2.367806,4.000
-13.095965,2.417832,4.000
-13.094496,2.467842,4.000
-13.092310,2.517826,4.000
-13.089379,2.567772,4.000
-13.085741,2.617671,4.000
-13.081398,2.667514,4.000
-13.076351,2.717291,4.000
-13.070602,2.766991,4.000
-13.064153,2.816606,4.000
-13.057006,2.866124,4.000
-13.049161,2.915537,4.000
-13.040621,2.964835,4.000
-13.031388,3.014007,4.000
-13.021463,3.063045,4.000
-13.010849,3.111938,4.000
-12.999547,3.160677,4.000
-12.987555,3.209250,4.000
-12.974841,3.257640,4.000
-12.961447,3.305845,4.000
-12.947373,3.353857,4.000
-12.932623,3.401665,4.000
-12.917197,3.449259,4.000
-12.901098,3.496630,4.000
-12.884325,3.543767,4.000
-12.866881,3.590659,4.000
-12.848765,3.637296,4.000
-12.829979,3.683667,4.000
-12.810518,3.729759,4.000
-12.790380,3.775558,4.000
-12.769547,3.821047,4.000
-12.748005,3.866203,4.000
-12.725782,3.911029,4.000
-12.702875,3.955509,4.000
-12.679277,3.999626,4.000
-12.654984,4.043364,4.000
-12.629987,4.086704,4.000
-12.604276,4.129624,4.000
-12.577839,4.172101,4.000
-12.550659,4.214106,4.000
-12.522647,4.255561,4.000
-12.493834,4.296463,4.000
-12.464219,4.336788,4.000
-12.433761,4.376481,4.000
-12.402423,4.415482,4.000
-12.370177,4.453737,4.000
-12.336889,4.491088,4.000
-12.302677,4.527594,4.000
-12.267514,4.563185,4.000
-12.231401,4.597812,4.000
-12.194304,4.631382,4.000
-12.156349,4.663980,4.000
-12.117643,4.695682,4.000
-12.078257,4.726535,4.000
-12.038228,4.756551,4.000
-11.997580,4.785721,4.000
-11.956352,4.814065,4.000
-11.914647,4.841705,4.000
-11.872506,4.868674,4.000
-11.829960,4.894999,4.000
-11.787039,4.920708,4.000
-11.743769,4.945824,4.000
-11.700170,4.970367,4.000
-11.656265,4.994358,4.000
-11.612067,5.017804,4.000
-11.567587,5.040710,4.000
-11.522842,5.063094,4.000
-11.477846,5.084971,4.000
-11.432612,5.106349,4.000
-11.387149,5.127237,4.000
-11.341467,5.147643,4.000
-11.295571,5.167560,4.000
-11.249473,5.187007,4.000
-11.203183,5.205992,4.000
-11.156709,5.224521,4.042
-11.110058,5.242599,4.090
-11.063236,5.260233,4.138
-11.016251,5.277426,4.185
-10.969108,5.294180,4.232
-10.921814,5.310502,4.278
-10.874375,5.326399,4.324
-10.826796,5.341875,4.370
-10.779085,5.356936,4.414
-10.731246,5.371585,4.456
-10.683285,5.385829,4.491
-10.635206,5.399673,4.526
-10.587016,5.413120,4.561
-10.538718,5.426178,4.596
-10.490317,5.438850,4.632
-10.441819,5.451142,4.668
-10.393227,5.463060,4.704
-10.344546,5.474607,4.741
-10.295780,5.485790,4.779
-10.246933,5.496614,4.816
-10.198009,5.507083,4.854
-10.149011,5.517202,4.893
-10.099943,5.526977,4.933
-10.050809,5.536411,4.972
-10.001612,5.545511,5.012
-9.952355,5.554281,5.051
-9.903041,5.562726,5.090
-9.853673,5.570849,5.128
-9.804254,5.578658,5.167
