t,v,obs_n,obs_d,obs_x,obs_y,obs_r,raw_n,raw_d,raw_far,dyn_d,mode,scale,reason,fgm_en,fgm_ang,path_n,path_age,override,aeb,ttc,steer,cmd_v,scan_age,obs_age
2.001,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,18.41,3.00,0.0244,0.0101
2.017,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,18.85,3.00,0.0342,0.0016
2.037,0.000,0,,,,,0,,,,,1.000,,0,,0,,0,0,-1.000,18.85,3.00,0.0297,0.0213
2.058,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.61,3.00,0.0504,0.0168
2.077,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.61,3.00,0.0436,0.0134
2.097,0.000,0,,,,,1,0.545,0.545,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.59,3.00,0.0401,0.0064
2.117,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.59,3.00,0.0343,0.0005
2.137,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.45,3.00,0.0300,0.0203
2.158,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.73,3.00,0.0505,0.0125
2.178,0.000,0,,,,,1,0.549,0.549,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,19.73,3.00,0.0447,0.0107
2.197,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.34,3.00,0.0389,0.0057
2.217,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.34,3.00,0.0346,0.0253
2.238,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.11,3.00,0.0559,0.0155
2.257,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.11,3.00,0.0490,0.0129
2.277,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0400,0.0327
2.300,0.000,0,,,,,0,,,,GLOBAL,1.000,clear,0,,0,,0,0,-1.000,18.38,3.00,0.0413,0.0045
