x,y,v
-2.016001,0.576512,3.490
-1.974748,0.548205,3.468
-1.933278,0.520218,3.445
-1.891583,0.492568,3.423
-1.849653,0.465273,3.400
-1.807483,0.438353,3.377
-1.765066,0.411823,3.353
-1.722397,0.385700,3.330
-1.679472,0.360000,3.306
-1.636288,0.334738,3.283
-1.592842,0.309929,3.259
-1.549133,0.285587,3.235
-1.505160,0.261726,3.210
-1.460922,0.238358,3.186
-1.416420,0.215498,3.161
-1.371654,0.193160,3.137
-1.326625,0.171356,3.111
-1.281335,0.150101,3.086
-1.235784,0.129410,3.061
-1.189976,0.109296,3.037
-1.143911,0.089775,3.015
-1.097595,0.070860,3.000
-1.051029,0.052568,3.000
-1.004219,0.034910,3.000
-0.957170,0.017901,3.000
-0.909887,0.001552,3.000
-0.862377,-0.014127,3.000
-0.814649,-0.029127,3.000
-0.766711,-0.043442,3.000
-0.718573,-0.057069,3.000
-0.670245,-0.070007,3.000
-0.621739,-0.082258,3.000
-0.573065,-0.093827,3.000
-0.524236,-0.104723,3.008
-0.475264,-0.114956,3.031
-0.426161,-0.124540,3.057
-0.376938,-0.133491,3.085
-0.327607,-0.141824,3.115
-0.278179,-0.149560,3.106
-0.228663,-0.156716,3.080
-0.179069,-0.163311,3.055
-0.129407,-0.169363,3.029
-0.079682,-0.174888,3.003
-0.029904,-0.179899,3.000
0.019923,-0.184410,3.000
0.069792,-0.188428,3.000
0.119697,-0.191958,3.000
0.169635,-0.195002,3.000
0.219600,-0.197558,3.000
0.269588,-0.199620,3.000
0.319594,-0.201179,3.000
0.369613,-0.202220,3.000
0.419641,-0.202729,3.000
0.469671,-0.202687,3.000
0.519697,-0.202073,3.000
0.569713,-0.200865,3.000
0.619709,-0.199039,3.000
0.669678,-0.196573,3.000
0.719610,-0.193442,3.000
0.769494,-0.189625,3.000
0.819318,-0.185098,3.000
0.869071,-0.179840,3.000
0.918739,-0.173835,3.000
0.968308,-0.167068,3.000
1.017766,-0.159528,3.000
1.067098,-0.151204,3.000
1.116290,-0.142088,3.000
1.165308,-0.132082,3.000
1.214157,-0.121279,3.000
1.262839,-0.109748,3.000
1.311323,-0.097407,3.000
1.359526,-0.084025,3.000
1.407163,-0.068783,3.000
1.454322,-0.052080,3.000
1.501148,-0.034470,3.000
1.547469,-0.015580,3.000
1.593057,0.005005,3.000
1.637610,0.027729,3.000
1.681326,0.052055,3.000
1.724376,0.077534,3.000
1.766624,0.104322,3.000
1.807895,0.132588,3.000
1.847897,0.162613,3.000
1.886664,0.194228,3.000
1.924405,0.227063,3.000
1.961093,0.261069,3.000
1.996739,0.296169,3.000
2.030636,0.332933,3.000
2.062927,0.371142,3.000
2.094031,0.410320,3.000
2.123834,0.450498,3.000
2.152170,0.491720,3.000
2.178602,0.534180,3.000
2.203151,0.577763,3.000
2.226153,0.622186,3.000
2.247680,0.667342,3.000
2.267857,0.713119,3.000
2.286026,0.759714,3.000
2.302074,0.807092,3.000
2.316494,0.854993,3.000
2.329429,0.903318,3.000
2.341069,0.951972,3.000
2.350668,1.001055,3.000
2.357931,1.050545,3.000
2.363368,1.100273,3.000
2.367326,1.150143,3.000
2.370174,1.200091,3.000
2.371012,1.250096,3.000
2.369598,1.300098,3.000
2.366750,1.350045,3.000
2.363094,1.399941,3.000
2.359033,1.449807,3.000
2.354487,1.499630,3.000
2.349598,1.549421,3.000
2.344588,1.599201,3.000
2.339507,1.648973,3.000
2.334403,1.698743,3.000
2.329319,1.748515,3.000
2.324296,1.798293,3.000
2.319373,1.848081,3.000
2.314586,1.897883,3.000
