x,y,v
3.474476,2.927479,1.129
3.436869,2.960383,1.151
3.398207,2.992040,1.176
3.358692,3.022626,1.204
3.318416,3.052202,1.232
3.277438,3.080799,1.262
3.235810,3.108441,1.292
3.193574,3.135145,1.322
3.150767,3.160922,1.351
3.107427,3.185793,1.378
3.063590,3.209779,1.405
3.019288,3.232893,1.430
2.974541,3.255133,1.453
2.929365,3.276490,1.475
2.883803,3.297009,1.495
2.837878,3.316702,1.514
2.791610,3.335575,1.532
2.745020,3.353640,1.549
2.698126,3.370900,1.565
2.650947,3.387363,1.581
2.603500,3.403041,1.596
2.555805,3.417945,1.610
2.507878,3.432084,1.625
2.459734,3.445466,1.638
2.411388,3.458101,1.652
2.362855,3.469998,1.665
2.314150,3.481165,1.678
2.265285,3.491612,1.690
2.216273,3.501347,1.703
2.167121,3.510352,1.715
2.117847,3.518656,1.727
2.068461,3.526272,1.739
2.018975,3.533206,1.750
1.969399,3.539467,1.762
1.919745,3.545066,1.773
1.870020,3.550009,1.784
1.820236,3.554303,1.794
1.770400,3.557954,1.805
1.720521,3.560968,1.816
1.670609,3.563351,1.827
1.620670,3.565108,1.839
1.570713,3.566235,1.852
1.520746,3.566730,1.866
1.470777,3.566610,1.882
1.420813,3.565883,1.899
1.370862,3.564535,1.920
1.320931,3.562582,1.943
1.271027,3.560021,1.968
1.221156,3.556876,1.993
1.171324,3.553179,2.017
1.121533,3.548953,2.041
1.071789,3.544218,2.065
1.022095,3.538974,2.089
0.972455,3.533251,2.112
0.922866,3.527094,2.136
0.873329,3.520536,2.159
0.823842,3.513605,2.181
0.774406,3.506327,2.204
0.725017,3.498729,2.226
0.675676,3.490832,2.248
0.626379,3.482659,2.270
0.577126,3.474230,2.291
0.527914,3.465565,2.313
0.478740,3.456680,2.334
0.429604,3.447592,2.355
0.380503,3.438318,2.375
0.331435,3.428872,2.396
0.282397,3.419269,2.417
0.233387,3.409523,2.437
0.184403,3.399649,2.457
0.135442,3.389661,2.477
0.086501,3.379573,2.497
0.037578,3.369400,2.516
-0.011330,3.359155,2.536
-0.060226,3.348852,2.555
-0.109112,3.338506,2.574
-0.157993,3.328130,2.593
-0.206870,3.317739,2.612
-0.255747,3.307347,2.631
-0.304626,3.296967,2.650
-0.353512,3.286617,2.668
-0.402406,3.276305,2.686
-0.451309,3.266036,2.705
-0.500223,3.255820,2.723
-0.549149,3.245665,2.741
-0.598090,3.235579,2.759
-0.647047,3.225571,2.776
-0.696023,3.215654,2.794
-0.745018,3.205838,2.812
-0.794035,3.196125,2.829
-0.843073,3.186523,2.846
-0.892135,3.177043,2.864
-0.941222,3.167692,2.881
-0.990335,3.158479,2.898
-1.039475,3.149415,2.906
-1.088644,3.140506,2.896
-1.137843,3.131764,2.887
-1.187072,3.123196,2.877
-1.236333,3.114809,2.867
-1.285625,3.106611,2.857
-1.334950,3.098611,2.847
-1.384308,3.090817,2.837
-1.433699,3.083237,2.828
-1.483124,3.075881,2.818
-1.532583,3.068756,2.808
-1.582076,3.061876,2.798
-1.631604,3.055243,2.787
-1.681164,3.048866,2.777
-1.730759,3.042753,2.767
-1.780386,3.036913,2.757
-1.830045,3.031354,2.747
-1.879736,3.026085,2.737
-1.929457,3.021113,2.726
-1.979208,3.016445,2.716
-2.028987,3.012080,2.706
-2.078790,3.008016,2.699
-2.128618,3.004252,2.694
-2.178467,3.000784,2.692
-2.228336,2.997613,2.692
-2.278222,2.994736,2.693
-2.328125,2.992152,2.696
-2.378041,2.989859,2.700
-2.427971,2.987856,2.705
-2.477911,2.986141,2.711
-2.527860,2.984713,2.716
-2.577816,2.983570,2.723
-2.627778,2.982712,2.729
-2.677744,2.982136,2.736
-2.727713,2.981841,2.743
-2.777682,2.981826,2.750
-2.827651,2.982089,2.756
-2.877618,2.982630,2.763
-2.927580,2.983446,2.770
-2.977538,2.984536,2.777
-3.027489,2.985900,2.783
-3.077431,2.987534,2.790
-3.127365,2.989439,2.796
-3.177287,2.991613,2.803
-3.227196,2.994054,2.809
-3.277093,2.996761,2.816
-3.326973,2.999734,2.822
-3.376838,3.002970,2.828
-3.426685,3.006468,2.834
-3.476513,3.010228,2.840
-3.526320,3.014247,2.846
-3.576106,3.018525,2.852
-3.625869,3.023061,2.858
-3.675608,3.027854,2.864
-3.725322,3.032902,2.870
-3.775010,3.038203,2.875
-3.824669,3.043758,2.881
